DELIVERY_DT,BILLTO_NAME,ORIG_AREA,DEST_AREA,LOADED_OP_MILES,TOTAL_REVENUE,TOTAL_VARIABLE_COST,TOTAL_OVERHEAD_COST
9/6/2025,QTG,VA-WYT,TN-MEM,580.01,1186.5,913,643.16
9/6/2025,AMERICAN HONDA MOTOR HOD,GA-ATL,TN-KNO,137.46,807.68,196.16,324.52
9/6/2025,AMERICAN HONDA MOTOR HOD,OH-DAY,TN-KNO,349.44,1064.46,513.03,581.9
9/6/2025,AMERICAN HONDA MOTOR HOD,OH-DAY,GA-ATL,546.27,1300.03,820.23,601.9
9/6/2025,AMERICAN HONDA MOTOR HOD,AL-HUN,TN-KNO,251.23,1007.5,352.94,372.52
9/6/2025,AMERICAN HONDA MOTOR HOD,OH-DAY,TN-KNO,344.22,887.04,525.97,569.28
9/6/2025,WALMART GROCERY DC,NC-RAL,GA-ATL,442.34,1512.52,640.64,749.24
9/6/2025,QTG,SC-MB,TN-MEM,669.61,1563,1068.8,656.77
9/6/2025,QTG,SC-MB,TN-MEM,672.76,1563,1173.07,957.35
9/6/2025,NCH CORPORATION,TX-TYL,GA-MAC,850.83,1968.14,1298.51,913.23
9/6/2025,ZF CHASSIS SYSTEMS TUSCAL 5014,GA-ATL,AL-BIR,257.69,1034.85,406.84,492.26
9/6/2025,WALMART,GA-ATL,KY-BGR,359.63,1046.09,543.9,709.28
9/5/2025,ARCBEST RETURNS,TN-CHT,GA-ATL,112.47,1012.01,298.77,146.87
9/5/2025,AMERICAN HONDA MOTOR HOD,TN-KNO,AL-BIR,204.37,801.94,284.07,150.13
9/5/2025,GEORGIA PACIFIC CONSUMER PROD,AL-HUN,GA-ATL,111.15,909.85,296.17,255.7
9/5/2025,AMERICAN HONDA MOTOR HOD,KY-BGR,TN-KNO,235.81,965.25,450.45,418.78
9/5/2025,STANDARD TEXTILE,OH-CIN,AL-DOT,694.2,1566.14,984.49,442.21
9/5/2025,AVRT BRIDGE (750)NORTH AMERICA,TN-KNO,GA-ATL,243.11,708.88,404.21,246.35
9/5/2025,GRAINGER,GA-ATL,KY-LOU,436.88,1015.78,651.78,532.22
9/5/2025,CH ROBINSON,FL-PC,GA-SAV,366.73,700,557.84,635.37
9/5/2025,AVRT BRIDGE (750)NORTH AMERICA,TN-KNO,TN-NAS,196.3,750,412.39,578.6
9/5/2025,CARLSTAR,GA-ATL,AL-HUN,231.83,1158.07,366.7,640.48
9/5/2025,GRAINGER,GA-ATL,KY-LOU,441.19,1015.78,876.69,596.61
9/5/2025,ADVANSIX INC,VA-RIC,NC-GBO,190.95,807.76,325.46,521.21
9/5/2025,AMERICAN HONDA MOTOR HOD,TN-KNO,GA-ATL,196.53,894.24,300.64,149.31
9/5/2025,AVRT BRIDGE (750)NORTH AMERICA,GA-SAV,IN-EVA,628.62,1350,870.89,705.67
