DELIVERY_DT,BILLTO_NAME,ORIG_AREA,DEST_AREA,LOADED_OP_MILES,TOTAL_REVENUE,TOTAL_VARIABLE_COST,TOTAL_OVERHEAD_COST
9/6/2025,ALLEN LUND,TX-TYL,TX-HOU,244.37,700,577.26,536.59
9/6/2025,WAL MART,IL-CHI,WI-LAC,171.51,839.05,668.26,339.89
9/6/2025,RXO,IL-CHI,GA-ATL,768.34,2400,1403.9,1376.17
9/6/2025,ARRIVE LOGISTICS,TX-DAL,GA-COL,703.67,1900,1241.6,1626.32
9/6/2025,TYSON FOODS INC,IL-CHI,PA-SCR,702.02,2460.04,1309.13,1276.77
9/6/2025,WAL MART,TX-DAL,IN-IND,1010.97,1910.72,1729.84,2032.32
9/6/2025,MCCAIN FOODS USA,IL-CHI,IN-FTW,270.08,825.24,732.26,729.51
9/6/2025,MARS/WRIGLEY,IL-CHI,GA-ATL,734.7,2645.07,1679.46,1144.69
9/6/2025,HORMEL FOODS,IA-DES,UT-SLC,1055.95,3003.2,2301.36,2539.94
9/6/2025,TYSON FOODS INC,IN-IND,OH-CLE,292.01,1306.42,492.96,403.9
9/6/2025,KROGER,MI-GRA,WI-MIL,247.47,902.23,663.08,806.39
9/6/2025,MARS/WRIGLEY,IL-CHI,GA-ATL,729.99,2463.12,1504.7,985.74
9/6/2025,MARS/WRIGLEY,IL-CHI,GA-ATL,729.99,2463.12,1497.25,850.36
9/6/2025, BAY & BAY TRANSPORTATION SERVICES,OH-CLE,WI-LAC,565.3,1050,1113.38,915.51
9/6/2025, BAY & BAY TRANSPORTATION SERVICES,IN-IND,KY-LEX,220.51,1005.72,383.4,641.48
9/6/2025,NESTLE USA,WI-APP,MN-MAN,328.39,1086.03,719.5,242.26
9/6/2025,TYSON FOODS INC,IL-CHI,MO-KAN,497.47,1328.65,844.56,893.45
9/6/2025,WAL MART,IL-CHI,TX-DAL,941.14,2638.73,1585.05,840.88
9/6/2025,NESTLE USA,WI-APP,MN-MAN,328.39,1086.03,562.27,242.85
9/6/2025,WAL MART,TX-DAL,MN-MAN,926.72,1790.4,1607.2,1534.88
9/6/2025,MARS/WRIGLEY,IL-CHI,TX-DAL,926.37,2719.95,1939.25,1607.66
9/6/2025,TYSON FOODS INC,IL-CHI,PA-PHI,689.3,2554.86,1240.05,2182.53
9/6/2025,KROGER,MN-MAN,IN-IND,567.49,1938.33,1098.14,1054.03
9/6/2025,NESTLE USA,TX-DAL,TX-TEM,141.39,1420.06,280.74,506.42
9/6/2025,MARTEN TRANSPORT LTD,IL-CHI,MN-MIN,420.5,1100,744.4,827.31
9/6/2025,JM SMUCKER COMPANY,MO-KAN,AR-LIT,338.43,959.86,665.26,305.3
9/6/2025,MICHAEL FOODS,NJ-NEW,OH-DAY,582.8,1709.44,1251.99,1011.58
9/6/2025,MICHAEL FOODS,NJ-NEW,MN-MIN,1254.6,2698.7,2179.75,1788.34
9/6/2025,NESTLE USA,IN-IND,MN-MAN,641.8,1390.49,1149.22,1652.73
9/6/2025,MARS/WRIGLEY,GA-ATL,IL-CHI,703.13,1307.12,1344.58,874.03
9/6/2025,MARS/WRIGLEY,IL-CHI,IA-WAT,284.1,962.27,501,817.68
