DELIVERY_DT,BILLTO_NAME,ORIG_AREA,DEST_AREA,LOADED_OP_MILES,TOTAL_REVENUE,TOTAL_VARIABLE_COST,TOTAL_OVERHEAD_COST
9/6/2025,TOPS PRODUCTS,MO-STL,TX-DAL,601.63,1778.61,1067.74,827.48
9/6/2025,RXO INC,IA-DAV,MO-COL,254.13,650,481.04,632.86
9/6/2025,ROYAL CANIN,SD-SIO,MO-STL,548.77,1684.71,741.19,568.57
9/6/2025,CJC TRANSPORT,MO-STL,NC-RAL,866.69,2100,1212.82,1080.77
9/6/2025,MCLEOD LOGISTICS,IN-IND,MO-STL,321.43,850,555.59,615.74
9/6/2025,ALLEN LUND COMPANY,MO-KAN,MO-STL,219.65,650,342.1,446.99
9/6/2025,THE CLOROX COMPANY,MO-COL,MO-KAN,207.86,883.59,459.55,649.97
9/6/2025,NESTLE PURINA PETCARE COMPANY,MO-CG,TX-TEM,655.43,1680,1091.59,1279.98
9/6/2025,NESTLE PURINA PETCARE COMPANY,MO-CG,IL-PEO,353.33,1037.48,675.91,773.96
9/5/2025,"MDX FREIGHT, LLC",TN-MEM,MO-SPR,278.18,725,485.55,260.48
9/5/2025,TRAFFIX LOGISTICS,IN-IND,MO-KAN,534.62,1050,720.91,292.95
9/5/2025,"PRIORITY-1, INC.",MO-STL,TN-JAC,267.97,800,396.23,483.42
9/5/2025,"BUCHANAN LOGISTICS, INC.",MO-SPR,IN-IND,479.62,938,677.64,497.69
9/5/2025,AXLE LOGISTICS,CO-DEN,OK-TUL,694.05,775,934.77,745.56
9/5/2025,NFI LOGISTICS,MO-SPR,AR-FAY,249.25,725,372.15,520.73
9/5/2025,SUNTECK TRANSPORT CO,OK-TUL,MO-STL,405.61,800,759.49,807.23
9/5/2025,MENARDS,WI-EAU,MO-STL,600.85,1507.85,930.31,559.78
9/5/2025,"DTI, INC.",MO-JOP,TN-NAS,549.85,1200,784.75,556.05
9/5/2025,"DTI, INC.",MO-STL,MO-JOP,326.08,900,494.69,580.19
9/5/2025,WATCO SUPPLY CHAIN SERVICES,MO-COL,KS-WIC,359.54,850,493.75,442.38
9/5/2025,ARRIVE LOGISTICS,TX-DAL,TN-MEM,458.71,1058,652.01,648.66
9/5/2025,RXO INC,MO-SPR,OK-OKC,283.3,703.93,397.72,595.15
9/5/2025,"ECHO GLOBAL LOGISTICS, LLC",KS-WIC,MO-KAN,404.08,950,706.61,631.98
9/5/2025,"HEARTLAND LOGISTICS GROUP, LLC",IN-IND,MI-TRA,324.19,800,513.66,664.89
9/5/2025,INTERCO TRADING,KY-LEX,MO-STL,453.04,1100,777.07,888.28
9/5/2025,SUNTECK TRANSPORT CO,OK-TUL,MO-STL,405.61,800,668.87,724.44
9/5/2025,"GOLD STAR TRANSPORTATION, INC.",AR-LIT,IA-DAV,732.56,1600,1138.27,844.18
9/5/2025,THE DOE RUN COMPANY,MO-SPR,OH-TOL,648.62,2048.96,1080.86,849.92
9/5/2025,FLS TRANSPORTATION SERVICES (USA) INC.,OK-OKC,MO-SPR,463.02,800,624.6,563.56
9/5/2025,BAT LOGISTICS,MO-JOP,NE-OMA,364.95,650,514.79,564.83
9/5/2025,PepsiCo,MO-STL,MO-COL,169.46,539.5,239.77,160.63
9/5/2025,PepsiCo,MO-STL,IN-EVA,174.7,672,246.75,451.39
9/5/2025,AVENUE LOGISTICS,GA-MAC,AR-FTS,763.37,1300,1178.76,1132.52
9/5/2025,RXO INC,WI-MAD,TN-NAS,663.62,1400,999.71,717.52
9/5/2025,NOLAN TRANSPORTATION GROUP,PA-SCR,IN-FTW,600.31,800,873.7,768.07
9/5/2025,FLS TRANSPORTATION SERVICES (USA) INC.,OK-OKC,MO-SPR,463.02,800,624.6,565.98
9/5/2025,AVENUE LOGISTICS,MI-GRA,OH-CLE,239.33,575,422.23,599.9
9/5/2025,RXO INC,TN-JAC,IN-IND,459.02,925,770.3,659.97
9/5/2025,RXO INC,TN-MEM,IL-CAR,325.5,700,466.51,604.12
9/5/2025,MFA - COLUMBIA,MO-STL,AR-JON,278.99,1200,372.94,197.94
9/5/2025,"ECHO GLOBAL LOGISTICS, LLC",TX-DAL,MN-MIN,962.7,1900,1347.27,1057.99
9/5/2025,SPOT FREIGHT INC,SC-GRE,IA-CED,926.76,1700,1239.75,1032.58
9/5/2025,SMITH COMPANIES,MO-STL,OH-CLE,705.11,1850,1169.6,908.25
9/5/2025,AVENUE LOGISTICS,KY-LOU,OH-CIN,176.8,500,325.01,522.83
9/5/2025,INTERCO TRADING,NE-OMA,MO-STL,449.42,1050,605.26,576.03
9/5/2025,PERFORMANCE FOOD GROUP,IL-CHI,MO-STL,291.22,900,469.01,741.95
9/5/2025,"CH ROBINSON - WORLDWIDE, INC.",FL-JAC,GA-ATL,311.23,420,515.7,677.84
9/5/2025,CONSTELLATION BRANDS,MO-KAN,IA-SIO,279.59,815.05,534.98,712.52
9/5/2025,PERFORMANCE FOOD GROUP,IL-CHI,MO-STL,301.49,900,459.65,373.53
9/5/2025,"CH ROBINSON - WORLDWIDE, INC.",AR-JON,TX-HOU,596.3,1100,805.84,1130.11
9/5/2025,"CH ROBINSON - WORLDWIDE, INC.",TX-DAL,MO-STL,640.43,1150,970.91,1286.14
9/5/2025,PepsiCo,IN-IND,MO-STL,246.91,712.5,563.01,746.11
9/5/2025,PepsiCo,IN-IND,MO-STL,264.22,712.5,534.53,397.78
9/5/2025,ARRIVE LOGISTICS,KS-WIC,TN-NAS,776.13,1545,1113.75,1139.54
9/5/2025,KRAFT-HEINZ FOODS COMPANY,MO-STL,IN-IND,243.41,709.24,370.94,331.22
9/5/2025,INTERCO TRADING,IN-IND,MO-STL,284.2,750,398.04,196.84
9/5/2025,INTERCO TRADING,IN-EVA,MO-STL,208.96,900,358.99,610.69
9/5/2025,INTERCO TRADING,MO-KAN,MO-STL,251.76,700,376.55,596.88
9/5/2025,NESTLE PURINA PETCARE COMPANY,MO-CG,TX-AMA,824.51,2275,1354.49,1388.27
9/5/2025,KRAFT-HEINZ FOODS COMPANY,MO-STL,TX-TYL,620.69,1783.78,875.75,901.17
9/5/2025,INTERCO TRADING,KY-LOU,MO-STL,256.04,850,567.14,489.91
9/5/2025,INTERCO TRADING,KY-LOU,MO-STL,348.08,900,512.94,614.87
9/5/2025,ARRIVE LOGISTICS,WI-EAU,MO-CG,686.3,1300,956.25,724.16
9/5/2025,KRAFT-HEINZ FOODS COMPANY,IA-DAV,MO-KAN,379.74,1505.06,584.52,676.75
9/5/2025,KRAFT-HEINZ FOODS COMPANY,AR-FTS,MO-SPR,201.24,633.33,446.54,637.25
9/5/2025,KRAFT-HEINZ FOODS COMPANY,MO-SPR,TX-HOU,619.2,2176.08,1241.52,1268.57
9/5/2025,THE CLOROX COMPANY,MO-COL,TX-DAL,565.5,2024.22,935.92,1050.97
9/5/2025,NESTLE PURINA PETCARE COMPANY,MO-CG,TX-LUB,850.37,2652.98,1446.78,1285.12
9/5/2025,PepsiCo,IN-IND,MO-SPR,392.41,920,618.72,286.77
9/5/2025,SUNTECK TRANSPORT CO,MO-COL,TX-DAL,605.77,1800,928.06,694.57
9/5/2025,KRAFT-HEINZ FOODS COMPANY,MO-STL,TX-TYL,624.54,1971.96,869.72,882.32
