DELIVERY_DT,BILLTO_NAME,ORIG_AREA,DEST_AREA,LOADED_OP_MILES,TOTAL_REVENUE,TOTAL_VARIABLE_COST,TOTAL_OVERHEAD_COST
9/6/2025,Menards Distribution Center,NE-OMA,IA-DES,135.67,285.3,716.06,464.85
9/6/2025,Hormel Foods,TX-TYL,IA-DES,706.59,1295,1214.47,939.79
9/6/2025,ALLEN LUND,TX-HOU,OK-OKC,507.1,1200,1037.62,1015.8
9/6/2025,TYSON FRESH MEATS,IA-SIO,IL-CHI,447.78,1606.11,676.86,437.93
9/6/2025,TYSON FRESH MEATS,IA-SIO,MO-KAN,279.65,1103.17,496.32,259.94
9/6/2025,MIDLAND DAVIS CORPORATION,AL-BIR,MS-JAC,130.03,650,447.52,542.02
9/6/2025,KRAFT HEINZ COMPANY,IA-MC,IL-CHI,350.54,1176.38,643.11,425.6
9/6/2025,KRAFT HEINZ COMPANY,IA-MC,IL-CHI,350.54,1196.54,687.17,781.81
9/6/2025,MIDLAND DAVIS CORPORATION,AL-BIR,MS-JAC,130.03,650,189.13,300.36
9/6/2025,Hormel Foods,TX-TYL,IA-DES,706.59,1295,1212.56,1431.87
9/6/2025,Hormel Foods,TX-TYL,IA-DES,706.59,1295,1232.93,1385
9/6/2025,Hormel Foods,MN-MAN,KS-WIC,559.45,1706.35,1001.83,960.66
9/6/2025,TYSON FRESH MEATS,IA-SIO,IL-CHI,488.05,1730.8,1148.51,980.48
9/6/2025,TYSON FRESH MEATS,KS-WIC,WI-MIL,1209.17,3993.39,2360.48,1798.08
9/6/2025,CAMPBELLS SOUP CO,OH-FIN,IL-PEO,490.4,1050.68,709.29,666.75
9/6/2025,MIDLAND DAVIS CORPORATION,AL-BIR,MS-JAC,130.03,650,234.02,356.69
9/6/2025,CAMPBELLS SOUP CO,NC-RAL,OH-FIN,606.05,1294.94,1032.85,983.75
9/6/2025,KRAFT HEINZ COMPANY,IA-MC,IL-CHI,350.54,1178.26,620.55,623
9/6/2025,TYSON FRESH MEATS,NE-KEA,UT-SLC,745.97,2346.58,1490.32,1220.78
9/6/2025,CH ROBINSON,CA-LOS,TX-TEM,1466.76,3562.5,2403.79,2369.01
9/6/2025,CH ROBINSON SUNNY D,TX-DAL,MO-KAN,409.41,1054.7,624.73,727.73
9/6/2025,"Anheuser-Busch, Inc.",MO-STL,IA-DES,533.4,1194.21,936,1234.56
9/6/2025,TYSON FRESH MEATS,TX-AMA,IL-CHI,1024.26,2696.04,1728.57,1168.73
9/6/2025,TYSON FRESH MEATS,IA-SIO,NE-KEA,310.8,1180.66,741.51,487.44
9/6/2025,PurFoods,IA-DES,OK-OKC,570.87,2059.83,918.33,832.2
9/6/2025,DREYER'S GRAND ICE CREAM,IN-FTW,MD-BAL,577.51,2264.42,943.18,1004.57
9/6/2025,DIAGEO - DHL,IL-CHI,IA-DES,473.75,1066.95,738.75,1058.29
9/6/2025,TYSON FRESH MEATS,IA-DES,FL-GAI,1488.89,5345.45,2290.76,2042.85
9/6/2025,HY-VEE FOOD STORES,MI-GRA,IA-DES,463.57,1720.2,900.04,763.44
9/6/2025,TYSON FRESH MEATS,IA-WAT,LA-NO,1023.91,4004.12,1883.98,1901.58
9/6/2025,JBS/SWIFT & COMPANY,IA-DES,NC-CHA,1009.84,4346.36,1710.77,1465.75
9/6/2025,WELLS ENTERPRISES INC,IA-SIO,WV-WHL,1084.8,3204.63,1741.89,1391.01
9/6/2025,MCT TRANSPORTATION LLC,KS-WIC,IN-GAR,784.42,2300,1536.28,1301.39
9/6/2025,DREYER'S GRAND ICE CREAM,IN-FTW,GA-ALB,933.37,2768.95,1529.75,1355.04
9/6/2025,TYSON FRESH MEATS,IA-WAT,AZ-PHO,1579.7,4333.49,2294.05,1213.05
9/6/2025,DREYER'S GRAND ICE CREAM,IN-IND,MO-KAN,528.3,1495.96,778.81,932.55
9/6/2025,WELLS ENTERPRISES INC,IA-SIO,NY-BUF,995.6,3707.03,1486.46,1198.08
9/6/2025,CAMPBELLS SOUP CO,OH-FIN,IA-DES,584.5,1146.16,984.6,759.54
9/6/2025,CH ROBINSON SUNNY D,TX-DAL,NE-KEA,851.8,1687.5,1353.32,1318.86
9/6/2025,CH ROBINSON SUNNY D,TX-DAL,NE-KEA,707.15,1650,1126.55,1230.63
9/6/2025,JBS/SWIFT & COMPANY,IA-DES,NC-RAL,1124.18,4491.26,1826.85,1640.31
9/6/2025,WELLS ENTERPRISES INC,IA-SIO,NY-BUF,995.6,3707.03,1733.95,1438.84
9/6/2025,WELLS ENTERPRISES INC,IA-SIO,NY-BUF,995.6,3707.03,1487.9,1060
9/6/2025,SEABOARD FOODS - LLC,MO-KAN,UT-SLC,1026.19,3168.24,1775.58,1363.48
9/6/2025,US COLD STORAGE,IL-CHI,OH-COL,331.06,1284.28,615.08,659.3
9/6/2025,WELLS ENTERPRISES INC,IA-SIO,CO-DEN,541.7,2020.51,943.84,693.02
9/6/2025,DECKER LOGISTICS,AR-FAY,MN-MAN,586.59,1350,971.9,904.86
9/6/2025,DECKER LOGISTICS,AR-FAY,MN-MAN,586.59,1350,1193.09,1305.33
9/6/2025,SEABOARD FOODS - LLC,IA-SIO,WI-APP,547.88,1957.1,998.97,835.86
9/6/2025,Rainier Fruit Co,WA-KEN,MI-DET,2243.3,5766,3304.66,2707.34
9/6/2025,TYSON FRESH MEATS,IA-DES,OH-CLE,842.99,2730.16,1252.42,672.47
9/6/2025,US COLD STORAGE,IL-CHI,PA-PIT,686.97,3217.57,1273.18,1470.36
9/6/2025,ESSENTIA PROTEIN SOLUTIONS,GA-ATL,NE-OMA,1028.5,2124.28,1644.75,1187.46
9/6/2025,US COLD STORAGE,IL-CHI,OH-COL,335.7,1302.52,677.05,968.53
9/6/2025,WALMART,FL-ORL,TN-MEM,659.34,1009.43,1318.78,1431.8
9/6/2025,HY-VEE FOOD STORES,OH-COL,IA-DES,682.86,1530.5,1123.03,1277.41
9/6/2025,TYSON FRESH MEATS,IA-DES,OH-CLE,837.15,2699.97,1251.75,1007.71
9/6/2025,TYSON FRESH MEATS,IA-DES,TX-HOU,1036.75,3358.13,1530.65,1008.77
9/6/2025,TYSON FRESH MEATS,IA-DES,TX-DAL,783.1,2624.97,1354.55,1060.73
9/6/2025,TYSON FRESH MEATS,IA-DES,TX-DAL,780.09,2628.35,1441.76,1279.92
9/6/2025,TYSON FRESH MEATS,IA-DAV,IN-IND,335.39,1200.1,569.8,534.44
9/6/2025,HY-VEE FOOD STORES,IL-CHI,IA-DES,291.5,1163.25,447.36,502.4
9/6/2025,WALMART,TN-JAC,IL-CHI,492.11,1128.12,905.56,864.62
9/6/2025,HY-VEE FOOD STORES,MS-BIL,IA-DES,945.69,2115,1366.46,893.5
9/6/2025,HY-VEE FOOD STORES,MS-BIL,IA-DES,945.69,2115,1523.45,981.31
9/6/2025,HY-VEE FOOD STORES,MS-BIL,IA-DES,945.69,2115,1463.96,1559.31
9/6/2025,CASEYS DIST CENTER,TN-NAS,IA-DES,666.14,1700.51,994.04,1178.95
9/6/2025,CASEYS DIST CENTER,WA-KEN,IA-DES,1639.5,4560.31,2893.4,1961.47
9/5/2025,Menards Distribution Center,IA-WAT,IA-DES,130.76,380.8,413.75,380.12
9/5/2025,ALLEN LUND,OK-OKC,IA-DES,671.48,1500,1163.47,1043.56
9/5/2025,TYSON FRESH MEATS,AL-MON,MS-JAC,287.94,1145.08,792.56,837.17
9/5/2025,TYSON FRESH MEATS,IA-DES,MO-KAN,312.1,1154.57,644.78,612.93
9/5/2025,Menards Distribution Center,NE-OMA,IA-DES,135.67,285.3,425.79,388.6
9/5/2025,ARRIVE LOGISTICS,KY-LOU,NC-GBO,482.78,1000,936.31,869.2
9/5/2025,MOLO SOLUTIONS,FL-JAC,SC-COL,244.24,749.01,584.66,649
9/5/2025,Hormel Foods,IA-DES,OH-DAY,543.44,1407.15,857.31,855.16
9/5/2025,ECHO GLOBAL LOGISTICS,VA-WYT,FL-JAC,569.42,1250,919.95,690.66
9/5/2025,CH ROBINSON,GA-SAV,TX-DAL,1067.85,1687.5,1705.44,1125.93
9/5/2025,MOLO SOLUTIONS,FL-JAC,NC-CHA,351.42,600,670.39,870.53
9/5/2025,ARRIVE LOGISTICS,TX-DAL,NC-RAL,1126.23,1950,1665.04,1112.72
9/5/2025,Hormel Foods,KS-WIC,IA-DES,403.36,856.74,583.66,275.36
9/5/2025,CH ROBINSON,OH-CLE,TN-JAC,626.1,1325,1016.71,719.66
9/5/2025,Hormel Foods,MN-MAN,IL-CHI,329.69,817.87,632.12,605.65
9/5/2025,ZOETIS C/O HUB GROUP,TX-DAL,MO-KAN,506.3,955.99,822.73,720.23
9/5/2025,TYSON FRESH MEATS,IA-SIO,MO-KAN,279.65,1103.17,676.65,185.04
9/5/2025,CH ROBINSON,OH-CIN,IA-WAT,585.42,1176.5,956.08,821.78
9/5/2025,TYSON FRESH MEATS,TX-DAL,MO-KAN,416.25,956.02,845.84,671.87
9/5/2025,TOOTSIE ROLL INDUSTRIES,TN-MEM,TX-DAL,502.73,1310.97,802.08,677.88
9/5/2025,QUAD TRANSPORTATION SERVICES,WI-MIL,IA-DES,409.33,998.42,647.84,627.23
9/5/2025,"Anheuser-Busch, Inc.",GA-ATL,OH-CIN,390.74,687.8,928.75,1030.77
9/5/2025,CH ROBINSON,FL-TAM,PA-PIT,1067.48,1245,1892.77,1294.96
9/5/2025,NATIONAL GYPSUM CO,IA-CED,IA-DES,164.05,491.17,358.12,302.25
9/5/2025,CH ROBINSON,GA-ATL,OH-CLE,736.26,1000,1394.02,1492.32
9/5/2025,CH ROBINSON,OH-CIN,IL-CHI,303.9,590,470.62,600.48
9/5/2025,CH ROBINSON,CA-LOS,UT-SLC,654.36,1800,1285.25,1542.5
9/5/2025,BOEHRINGER INGELHEIM ANIMAL HEALTH INC,GA-ATL,TX-DAL,859.12,2486.27,1337.03,857.52
9/5/2025,MIDLAND DAVIS CORPORATION,AL-BIR,MS-JAC,130.03,650,189.13,296.81
9/5/2025,CH ROBINSON,TX-DAL,AL-MON,726.91,1972.5,1099.62,1085.93
9/5/2025,CH ROBINSON,VA-HAR,MI-GRA,676.28,1200,1796.17,1739.84
9/5/2025,CH ROBINSON,VA-HAR,MI-DET,564.28,1000,1053.81,1393.17
9/5/2025,CH ROBINSON,GA-ATL,FL-TAM,471.03,1650,741.9,1032.44
9/5/2025,Big Sky Brewing Co,MT-MIS,OR-EUG,749.65,1733.4,1086.71,1143.44
9/5/2025,TYSON FRESH MEATS,IN-IND,OH-FIN,141.59,762.27,452.37,617.04
9/5/2025,"LineHaul Logistics, Inc",CO-DEN,TX-HOU,1028,1647,1630.55,1287.6
9/5/2025,Hormel Foods,KS-TOP,UT-SLC,1019.36,3056.75,1693.87,1233.34
9/5/2025,TYSON FRESH MEATS,TX-AMA,IL-CHI,998.65,2371.28,1442.91,917.85
9/5/2025,ARRIVE LOGISTICS,MO-JOP,TN-MEM,376.23,1000,731.1,719.78
9/5/2025,CH ROBINSON,AZ-PHO,UT-SLC,670.93,1675,997.01,886.63
9/5/2025,CH ROBINSON,AZ-PHO,TX-DAL,1097.15,2425,1590.46,1197.64
9/5/2025,CH ROBINSON,AZ-PHO,CO-DEN,550.66,1500,835.22,1126.64
9/5/2025,MOLO SOLUTIONS,CA-LOS,WA-SEA,1094.31,3274.5,1920.51,1578.94
9/5/2025,USG CORPORATION,IA-DES,NE-OMA,205.79,988.5,524.76,682.6
9/5/2025,TYSON FRESH MEATS,NE-OMA,CO-DEN,508.41,1733.91,735.28,787.7
9/5/2025,JM SMUCKER LLC,AL-HUN,IL-CHI,563.16,1097.76,818.41,601.41
9/5/2025,TOOTSIE ROLL INDUSTRIES,IL-CHI,GA-ATL,691,1843.38,1287.46,1324.27
9/5/2025,TYSON FRESH MEATS,TN-MEM,IL-CHI,456.38,1202.46,1264.44,1257.77
9/5/2025,TIP TOP POULTRY,GA-ATL,AR-FAY,700.53,1445.77,1087.6,765.45
9/5/2025,CH ROBINSON,TX-AUS,FL-ORL,1135.42,3145.27,1873.23,1963.68
9/5/2025,TYSON FRESH MEATS,IA-SIO,NE-KEA,310.8,1180.66,686.89,639.61
9/5/2025,ARRIVE LOGISTICS,CO-DEN,MN-MIN,860.88,1358.2,1497.75,1487.35
9/5/2025,TYSON FRESH MEATS,TX-AMA,IL-CHI,1001.11,2371.28,1562.67,1114.54
9/5/2025,MCT TRANSPORTATION LLC,PA-PHI,KS-WIC,1459.26,3100,2319.24,2268.89
9/5/2025,TYSON FRESH MEATS,TX-AMA,IL-CHI,970.1,2816.04,1907.22,1650.58
9/5/2025,CH ROBINSON,MA-BOS,TX-DAL,1782.71,3205,2884.03,2492.82
9/5/2025,TYSON FRESH MEATS,NE-OMA,TX-DAL,659.72,2276.19,1353.92,1353
9/5/2025,TOOTSIE ROLL INDUSTRIES,IL-CHI,MD-BAL,694.14,2202.52,1113.84,1239.12
9/5/2025,TOOTSIE ROLL INDUSTRIES,TN-MEM,OH-FIN,654.62,2149.96,1249.23,1186.04
9/5/2025,TRICONT LOGISTICS,TX-HOU,NE-KEA,1041.7,2121.34,1670.31,1724.61
9/5/2025,TRICONT LOGISTICS,TX-HOU,NE-KEA,1041.7,2133.84,1642.91,1516.31
9/5/2025,TRICONT LOGISTICS,TX-HOU,CO-DEN,1270.84,2791.62,1961.72,1665.3
9/5/2025,TYSON FRESH MEATS,KS-WIC,WI-MIL,966.69,3514.4,1834.88,1266.3
9/5/2025,KRAFT HEINZ COMPANY,IL-CHI,TX-DAL,925.74,2442.55,1350.49,1208.71
