DELIVERY_DT,BILLTO_NAME,ORIG_AREA,DEST_AREA,LOADED_OP_MILES,TOTAL_REVENUE,TOTAL_VARIABLE_COST,TOTAL_OVERHEAD_COST
9/6/2025,CUSTOM PRO LOGISTICS CPL,MD-BAL,OK-TUL,1274.61,2100,2078.09,1421.44
9/6/2025,NOLAN TRANSPORTATION GROUP LLC,NJ-NEW,MO-JOP,1229.11,2053.09,2016.63,1322.74
9/6/2025,TS WHITES LLC,AZ-PHO,MO-JOP,1244.01,2900,2267.74,1165.53
9/5/2025,828 LOGISTICS LLC,TX-DAL,AR-FAY,322.97,750,525.63,705.4
9/5/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,WI-WAU,900.15,2419.31,1427.77,1026.7
9/4/2025,HALL FARMS TRANSPORTATION LLC,MO-STL,MO-JOP,318.69,750,553.37,326.81
9/4/2025,ALLEN LUND COMPANY,TX-LUB,TX-DAL,373.88,650,671.8,483.97
9/4/2025,BATLINER PAPERSTOCK - RECYCLING,MO-JOP,OK-TUL,74.95,525.64,147.11,392.1
9/4/2025,PAPERWORKS C/O TRANZACT,NE-KEA,MO-JOP,445.4,1244.46,833.67,589.15
9/4/2025,MCKEE FOODS CORPORATION,AR-FAY,NV-LAS,1210.34,3876.75,1974.71,642.66
9/4/2025,ACTION ENTERPRISE LOGISTICS,VA-NOR,OK-TUL,1279.59,2200,1989.28,1124.16
9/4/2025,LEGGETT & PLATT INC,MO-JOP,PA-SCR,1154.57,3262.32,1784.07,1226.55
9/4/2025,ATN LLC,NV-LAS,MO-JOP,1363.98,2300,2236.87,1073.03
9/4/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,MD-BAL,1235.17,3758.67,1900.34,1091.8
9/3/2025,GOLD BOND BUILDING PRODUCTS,MO-SPR,OK-TUL,147.5,670.3,224.63,515.99
9/3/2025,CORCORAN LOGISTICS LLC,OH-DAY,OK-TUL,771.01,1600,1301.25,771.82
9/3/2025,REDWOOD MULTIMODAL - LOGISTICS,TX-HOU,MO-SPR,673.52,1440,1053.29,738.06
9/3/2025,ARRIVE LOGISTICS AKA DM TRANS LLC,TX-HOU,MO-SPR,687.88,1250,1124.43,978.35
9/3/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,AR-FTS,131.86,708.17,244.69,270.37
9/3/2025,M S W INC,MO-JOP,MO-STL,299.51,1120.6,500.05,239.14
9/3/2025,M S W INC,MO-JOP,TX-ODE,678.77,2781.45,1032.02,1151.67
9/3/2025,TAMKO BUILDING PRODUCTS INC,MO-JOP,KS-SAL,425.49,1243.31,650.43,415.51
9/3/2025,ARRIVE LOGISTICS AKA DM TRANS LLC,WA-SEA,OK-TUL,2100.36,3150,3318.66,2259.61
9/2/2025,GOLD BOND BUILDING PRODUCTS,MO-KAN,OK-TUL,216.72,779.4,630.58,306.39
9/2/2025,MOLO SOLUTIONS LLC,FL-MIA,MO-SPR,1363.65,1587,2209.5,2025
9/2/2025,TRINITY LOGISTICS INC,KS-TOP,OK-TUL,286.03,850,708.27,522.66
9/2/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,OH-COL,809.2,2407.3,1238.11,627.45
9/2/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,VA-NOR,1325.19,4152.26,2072.53,1661.11
9/1/2025,MCKEE FOODS CORPORATION,AR-FAY,NV-LAS,1210.34,3864.5,2002.06,735.37
9/1/2025,TAMKO BUILDING PRODUCTS INC,MO-JOP,KS-SAL,410.79,1238.61,740.97,800.94
9/1/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,TX-HOU,504.46,1619.43,775.85,959.53
8/29/2025,C H ROBINSON WORLDWIDE,AR-LIT,OK-TUL,282.68,720,466,573.66
8/29/2025,FITZMARK,AR-LIT,MO-JOP,311.8,800,525.91,543.26
8/29/2025,REDWOOD MULTIMODAL - LOGISTICS,TX-DAL,MO-SPR,424.29,1150,738.29,1002.35
8/29/2025,RIVER PLACE LOGISTICS INC,VA-ROA,OK-TUL,1043.64,1750,1675.86,1219.15
8/29/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,FL-MIA,1319.72,4302.99,2169.37,1145.95
8/29/2025,M S W INC,MO-JOP,NE-LIN,353.22,1141.8,689.18,732.58
8/28/2025,BATLINER PAPERSTOCK - RECYCLING,MO-JOP,OK-TUL,73.95,525.64,346.49,798.53
8/28/2025,AMERIFREIGHT SYSTEMS LLC,TX-DAL,MO-JOP,346.5,700,620.04,583.41
8/28/2025,AXLE LOGISTICS LLC,LA-MON,AR-FTS,367.42,900,750.97,762.43
8/28/2025,CL SERVICES INC dba PROSPONSIVE LOGISTIC,GA-MAC,OK-TUL,1000.56,1600,1761.03,1330.93
8/28/2025,AFC LOGISTICS,FL-MIA,AR-LIT,1126.3,1200,1713.71,1179.33
8/28/2025,AFC LOGISTICS,FL-MIA,AR-LIT,1125.62,1200,1787.35,1221.22
8/28/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,TX-HOU,495.99,1596.52,917.14,946.67
8/28/2025,REDWOOD MULTIMODAL - LOGISTICS,AZ-PHO,OK-TUL,1119.1,2000,2082.41,1545.7
8/27/2025,GOLD BOND BUILDING PRODUCTS,MO-SPR,OK-TUL,147.5,670.3,337.69,423.97
8/27/2025,GOLD BOND BUILDING PRODUCTS,MO-SPR,OK-TUL,147.5,670.3,332.49,357.53
8/27/2025,PAPERWORKS C/O TRANZACT,NE-KEA,MO-JOP,445.4,1244.46,835.46,508.23
8/27/2025,GOLD BOND BUILDING PRODUCTS,MO-KAN,OK-TUL,216.72,781.5,724.77,718.94
8/27/2025,M S W INC,MO-JOP,MS-JAC,566.91,1592.1,977.47,928.48
8/26/2025,STANDARD TRANSPORTATION SERVICES INC,IN-GAR,MO-JOP,626.49,1400,1027.26,591.4
8/26/2025,GENERAL TRANSPORTATION INC,GA-ATL,OK-MCA,900.85,1450,1531.21,828.97
8/26/2025,HOMETOWN LOGISTICS LLC,TX-HOU,OK-TUL,532.66,1100,863.78,1006.36
8/26/2025,GOLD BOND BUILDING PRODUCTS,MO-SPR,OK-TUL,148.5,670.3,247.12,228.53
8/26/2025,MCKEE FOODS CORPORATION,AR-FAY,NV-LAS,1210.34,3876.75,1978.97,965.47
8/26/2025,TAMKO BUILDING PRODUCTS INC,MO-JOP,KS-SAL,410.79,1241.29,629.48,482.59
8/26/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,FL-MIA,1490.45,4474.5,2428.91,1797.11
8/26/2025,LEGGETT & PLATT INC,MO-JOP,WA-SEA,2039.96,5496.36,3146.59,2112.56
8/26/2025,M S W INC,MO-JOP,VA-ROA,1024.34,3004.92,1598.02,1031.99
8/26/2025,TAMKO BUILDING PRODUCTS INC,MO-JOP,KS-SAL,425.49,1242.28,648.35,472.46
8/25/2025,PAPERWORKS C/O TRANZACT,NE-KEA,MO-JOP,445.4,1244.46,835.46,492.67
8/25/2025,RYAN TRANSPORTATION,TX-LUB,AR-FAY,662.47,1050,1108.07,476.18
