DELIVERY_DT,BILLTO_NAME,ORIG_AREA,DEST_AREA,LOADED_OP_MILES,TOTAL_REVENUE,TOTAL_VARIABLE_COST,TOTAL_OVERHEAD_COST
9/6/2025,CATERPILLAR FREIGHT PAYABLE,IL-CHI,FL-JAC,1066.04,4826.27,1827.16,606.69
9/6/2025,JOHN DEERE DUBUQUE WORKS,IL-CHI,ND-FAR,800.8,2491.28,1284.47,632.8
9/6/2025,FALVEY STEEL CASTINGS INC,MN-MIN,MN-DUL,152.89,1366.5,284.79,284.4
9/6/2025,FALVEY STEEL CASTINGS INC,MN-MIN,MN-DUL,291.8,1366.5,778.71,313.38
9/5/2025,LAKE SUPERIOR WAREHOUSE,MN-DUL,MN-DUL,33.6,345,71.43,118.38
9/5/2025,FIBRIA CELLULOSE USA,MN-DUL,MN-DUL,39.4,640,80.72,57.57
9/5/2025,LAKE SUPERIOR WAREHOUSE,MN-DUL,MN-DUL,29.69,290,65.67,51.49
9/5/2025,FIBRIA CELLULOSE USA,MN-DUL,MN-DUL,39.4,640,66.32,79.86
9/5/2025,LAKE SUPERIOR WAREHOUSE,MN-DUL,MN-DUL,95,800,286.82,103.58
9/5/2025,LAKE SUPERIOR WAREHOUSE,MN-DUL,MN-DUL,71.25,600,252.67,150.81
9/5/2025,MICHELS PIPELINE INC,WI-WAU,WI-MAR,34.93,1725,113.61,121.02
9/5/2025,CAR-DALE TRANSPORTATION LTD.,MN-BEM,MN-DUL,161.01,1200,525.44,356.97
9/5/2025,MICHELS PIPELINE INC,WI-WAU,WI-MAR,34.93,2012.5,230.1,241.63
9/5/2025,RXO INC,TX-HOU,TX-MCA,355.78,700,726,639.63
9/5/2025,MENARD INC,WI-EAU,MN-DUL,162.38,562.35,264.94,173.32
9/5/2025,STANDARD LOGISTICS SOLUTIONS LLC,TX-DAL,TX-HOU,312.23,650,761.52,553.33
9/5/2025,PINNACLE FREIGHT SYSTEMS INC.,WI-MIL,NY-SYR,794.4,2100,1431.81,935.58
9/5/2025,INTEGRITY EXPRESS LOGISTICS,NJ-NEW,MI-DET,626.91,1075,1185.36,768.72
9/5/2025,LAKE SUPERIOR WAREHOUSE,MN-DUL,MN-MAN,213.27,695,355.23,377.85
9/5/2025,LAKE SUPERIOR WAREHOUSE,MN-DUL,MN-MAN,213.27,695,358.27,367.31
9/5/2025,CATERPILLAR FREIGHT PAYABLE,IN-IND,IL-PEO,185.24,2162.48,511.59,539.77
9/5/2025,LOUISIANA-PACIFIC CORPORATION,WI-MAR,WI-MAR,163.47,1390.13,284.39,115.95
9/5/2025,COAST 2 COAST CARRIERS,UT-SLC,MO-KAN,1193.78,2200,1967.91,954.75
9/5/2025,THE OKONITE COMPANY,CA-FRE,ID-BOI,875.11,3150.4,2210.83,1430.3
9/5/2025,NUCOR BRANDENBURG,KY-LOU,WI-WAU,617.3,2445.25,1164.23,856.8
9/5/2025,LANDSTAR RANGER,NJ-NEW,ME-BAN,466.67,1200,1029.5,1268.61
9/5/2025,M.E. GLOBAL INC.,MN-MIN,MN-DUL,142.92,700,352.39,165.61
9/5/2025,ONX LOGISTICS LLC,SC-GRE,PA-PHI,599.65,1800,1206.79,1192.48
9/5/2025,LOUISIANA-PACIFIC CORPORATION,MN-DUL,NC-CHA,1110.1,2837.72,1966.85,1120.74
9/5/2025,BENDTEC INC.,IN-GAR,MN-DUL,505.22,1750,1003.02,731.51
9/5/2025,BENDTEC INC.,IN-GAR,MN-DUL,505.22,1750,865.67,560.69
9/5/2025,NUCOR BRANDENBURG,KY-LOU,WI-MIL,429.1,1722.8,779.7,566.13
9/5/2025,CATERPILLAR FREIGHT PAYABLE,MS-TUP,IL-PEO,491.09,2275.85,924.79,747.78
9/5/2025,CATERPILLAR FREIGHT PAYABLE,IL-PEO,SD-RAP,882.81,6260.99,1801.99,929.88
